system,stratum,tp,fp,fn,precision,recall,f1
spacy,clean/mixed,162,50,63,0.7641509433962265,0.72,0.7414187643020594
spacy,clean/prose,253,52,145,0.8295081967213115,0.635678391959799,0.7197724039829303
spacy,clean/sparse,169,31,102,0.845,0.6236162361623616,0.7176220806794055
spacy,noisy/mixed,64,52,39,0.5517241379310345,0.6213592233009708,0.5844748858447488
spacy,noisy/prose,65,25,40,0.7222222222222222,0.6190476190476191,0.6666666666666666
llm,clean/mixed,153,12,72,0.9272727272727272,0.68,0.7846153846153845
llm,clean/prose,277,34,121,0.8906752411575563,0.6959798994974874,0.7813822284908322
llm,clean/sparse,188,19,83,0.9082125603864735,0.6937269372693727,0.786610878661088
llm,noisy/mixed,57,9,46,0.8636363636363636,0.5533980582524272,0.6745562130177515
llm,noisy/prose,75,7,30,0.9146341463414634,0.7142857142857143,0.8021390374331552
hybrid,clean/mixed,167,23,58,0.8789473684210526,0.7422222222222222,0.8048192771084337
hybrid,clean/prose,277,40,121,0.8738170347003155,0.6959798994974874,0.7748251748251748
hybrid,clean/sparse,132,15,139,0.8979591836734694,0.4870848708487085,0.631578947368421
hybrid,noisy/mixed,78,32,25,0.7090909090909091,0.7572815533980582,0.7323943661971831
hybrid,noisy/prose,47,8,58,0.8545454545454545,0.44761904761904764,0.5875
